Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL GBP,Return %,Commission GBP,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative PnL GBP,Cumulative PnL %,Duration (bars)
100,Exit long,11/03/2026 15:30,Short 15M,185.08,1,185.9,-0.61,-0.44,0,1.28,0.93,-0.72,-0.52,11.45,1.15,8
100,Entry long,11/03/2026 13:30,Long 15M,185.9,1,185.9,-0.61,-0.44,0,1.28,0.93,-0.72,-0.52,11.45,1.15,8
101,Exit short,11/03/2026 16:30,Exit Short 15M,186.05,1,185.08,-0.72,-0.52,0,0.18,0.13,-0.72,-0.52,10.73,1.07,4
101,Entry short,11/03/2026 15:30,Short 15M,185.08,1,185.08,-0.72,-0.52,0,0.18,0.13,-0.72,-0.52,10.73,1.07,4
102,Exit short,12/03/2026 13:45,Exit Short 15M,182.84,1,184.75,1.42,1.03,0,1.42,1.03,-0.08,-0.06,12.15,1.22,5
102,Entry short,12/03/2026 12:30,Short 15M,184.75,1,184.75,1.42,1.03,0,1.42,1.03,-0.08,-0.06,12.15,1.22,5
103,Exit short,13/03/2026 08:30,Exit Short 15M,182.62,1,182.2,-0.31,-0.23,0,0.04,0.03,-0.31,-0.23,11.84,1.18,1
103,Entry short,13/03/2026 08:15,Short 15M,182.2,1,182.2,-0.31,-0.23,0,0.04,0.03,-0.31,-0.23,11.84,1.18,1
104,Exit short,13/03/2026 17:45,Exit Short 15M,181.21,1,183.99,2.08,1.51,0,2.45,1.78,-0.25,-0.18,13.92,1.39,14
104,Entry short,13/03/2026 14:15,Short 15M,183.99,1,183.99,2.08,1.51,0,2.45,1.78,-0.25,-0.18,13.92,1.39,14
105,Exit long,16/03/2026 12:30,Exit Long 15M,183.32,1,181.9,1.08,0.78,0,1.11,0.81,-0.27,-0.19,15,1.5,17
105,Entry long,16/03/2026 08:15,Long 15M,181.9,1,181.9,1.08,0.78,0,1.11,0.81,-0.27,-0.19,15,1.5,17
106,Exit long,16/03/2026 19:30,Short 15M,181.85,1,185.52,-2.78,-1.98,0,0.35,0.25,-2.9,-2.06,12.22,1.22,1
106,Entry long,16/03/2026 19:15,Long 15M,185.52,1,185.52,-2.78,-1.98,0,0.35,0.25,-2.9,-2.06,12.22,1.22,1
107,Exit short,16/03/2026 21:45,Exit Short 15M,182.74,1,181.85,-0.67,-0.49,0,0.33,0.24,-1.74,-1.26,11.54,1.15,9
107,Entry short,16/03/2026 19:30,Short 15M,181.85,1,181.85,-0.67,-0.49,0,0.33,0.24,-1.74,-1.26,11.54,1.15,9
108,Exit long,17/03/2026 08:30,Exit Long 15M,183.06,1,183.4,-0.26,-0.19,0,0.04,0.03,-0.26,-0.19,11.29,1.13,1
108,Entry long,17/03/2026 08:15,Long 15M,183.4,1,183.4,-0.26,-0.19,0,0.04,0.03,-0.26,-0.19,11.29,1.13,1
109,Exit long,18/03/2026 16:30,Exit Long 15M,182.25,1,182.95,-0.52,-0.38,0,0.02,0.02,-0.52,-0.38,10.76,1.08,5
109,Entry long,18/03/2026 15:15,Long 15M,182.95,1,182.95,-0.52,-0.38,0,0.02,0.02,-0.52,-0.38,10.76,1.08,5
110,Exit short,18/03/2026 22:15,Exit Short 15M,180.09,1,181.22,0.85,0.62,0,0.98,0.72,-0.34,-0.25,11.62,1.16,13
110,Entry short,18/03/2026 19:00,Short 15M,181.22,1,181.22,0.85,0.62,0,0.98,0.72,-0.34,-0.25,11.62,1.16,13
111,Exit short,19/03/2026 13:30,Exit Short 15M,176.56,1,178.92,1.78,1.32,0,1.78,1.32,-0.06,-0.04,13.39,1.34,7
111,Entry short,19/03/2026 11:45,Short 15M,178.92,1,178.92,1.78,1.32,0,1.78,1.32,-0.06,-0.04,13.39,1.34,7
112,Exit short,20/03/2026 13:15,Exit Short 15M,179.05,1,178.54,-0.38,-0.29,0,1.15,0.86,-0.38,-0.29,13.02,1.3,19
112,Entry short,20/03/2026 08:30,Short 15M,178.54,1,178.54,-0.38,-0.29,0,1.15,0.86,-0.38,-0.29,13.02,1.3,19
113,Exit short,23/03/2026 11:00,Exit Short 15M,172.26,1,171.57,-0.52,-0.4,0,0.8,0.62,-0.52,-0.4,12.5,1.25,11
113,Entry short,23/03/2026 08:15,Short 15M,171.57,1,171.57,-0.52,-0.4,0,0.8,0.62,-0.52,-0.4,12.5,1.25,11
114,Exit long,23/03/2026 11:45,Exit Long 15M,175.61,1,177.62,-1.51,-1.13,0,0.2,0.15,-1.51,-1.13,10.99,1.1,2
114,Entry long,23/03/2026 11:15,Long 15M,177.62,1,177.62,-1.51,-1.13,0,0.2,0.15,-1.51,-1.13,10.99,1.1,2
115,Exit short,23/03/2026 17:45,Exit Short 15M,176.06,1,175.11,-0.71,-0.54,0,0.26,0.2,-0.71,-0.54,10.28,1.03,7
115,Entry short,23/03/2026 16:00,Short 15M,175.11,1,175.11,-0.71,-0.54,0,0.26,0.2,-0.71,-0.54,10.28,1.03,7
116,Exit long,24/03/2026 08:30,Exit Long 15M,175.84,1,176.3,-0.34,-0.26,0,0.11,0.09,-0.35,-0.27,9.94,0.99,1
116,Entry long,24/03/2026 08:15,Long 15M,176.3,1,176.3,-0.34,-0.26,0,0.11,0.09,-0.35,-0.27,9.94,0.99,1
117,Exit short,24/03/2026 10:15,Long 15M,175.91,1,175.65,-0.19,-0.15,0,0.45,0.34,-0.26,-0.2,9.74,0.97,5
117,Entry short,24/03/2026 09:00,Short 15M,175.65,1,175.65,-0.19,-0.15,0,0.45,0.34,-0.26,-0.2,9.74,0.97,5
118,Exit long,24/03/2026 11:45,Exit Long 15M,175.48,1,175.91,-0.32,-0.24,0,0.31,0.24,-0.32,-0.24,9.42,0.94,6
118,Entry long,24/03/2026 10:15,Long 15M,175.91,1,175.91,-0.32,-0.24,0,0.31,0.24,-0.32,-0.24,9.42,0.94,6
119,Exit short,24/03/2026 13:30,Exit Short 15M,175.43,1,174.76,-0.5,-0.38,0,0.31,0.23,-0.5,-0.38,8.93,0.89,3
119,Entry short,24/03/2026 12:45,Short 15M,174.76,1,174.76,-0.5,-0.38,0,0.31,0.23,-0.5,-0.38,8.93,0.89,3
120,Exit long,24/03/2026 19:30,Exit Long 15M,175.13,1,175.79,-0.49,-0.38,0,0.07,0.05,-0.49,-0.38,8.43,0.84,3
120,Entry long,24/03/2026 18:45,Long 15M,175.79,1,175.79,-0.49,-0.38,0,0.07,0.05,-0.49,-0.38,8.43,0.84,3
121,Exit long,25/03/2026 14:00,Exit Long 15M,178.12,1,179.22,-0.82,-0.61,0,0.01,0.01,-0.86,-0.64,7.61,0.76,1
121,Entry long,25/03/2026 13:45,Long 15M,179.22,1,179.22,-0.82,-0.61,0,0.01,0.01,-0.86,-0.64,7.61,0.76,1
122,Exit short,25/03/2026 22:45,Exit Short 15M,178.28,1,178.11,-0.13,-0.1,0,0,0,-0.13,-0.1,7.49,0.75,1
122,Entry short,25/03/2026 22:30,Short 15M,178.11,1,178.11,-0.13,-0.1,0,0,0,-0.13,-0.1,7.49,0.75,1
123,Exit short,27/03/2026 13:30,Exit Short 15M,169.3,1,171.99,2.02,1.56,0,2.02,1.56,-0.29,-0.23,9.5,0.95,20
123,Entry short,27/03/2026 08:30,Short 15M,171.99,1,171.99,2.02,1.56,0,2.02,1.56,-0.29,-0.23,9.5,0.95,20
124,Exit long,30/03/2026 11:45,Short 15M,168.08,1,168.48,-0.3,-0.24,0,0.76,0.6,-0.3,-0.24,9.2,0.92,10
124,Entry long,30/03/2026 09:15,Long 15M,168.48,1,168.48,-0.3,-0.24,0,0.76,0.6,-0.3,-0.24,9.2,0.92,10
125,Exit short,30/03/2026 12:00,Exit Short 15M,168.61,1,168.08,-0.4,-0.32,0,0.06,0.05,-0.4,-0.32,8.8,0.88,1
125,Entry short,30/03/2026 11:45,Short 15M,168.08,1,168.08,-0.4,-0.32,0,0.06,0.05,-0.4,-0.32,8.8,0.88,1
126,Exit long,30/03/2026 13:00,Exit Long 15M,168.42,1,169.21,-0.6,-0.47,0,0.11,0.08,-0.6,-0.47,8.21,0.82,2
126,Entry long,30/03/2026 12:30,Long 15M,169.21,1,169.21,-0.6,-0.47,0,0.11,0.08,-0.6,-0.47,8.21,0.82,2
127,Exit short,30/03/2026 19:30,Exit Short 15M,165.64,1,167.88,1.69,1.33,0,1.73,1.36,-0.27,-0.21,9.9,0.99,19
127,Entry short,30/03/2026 14:45,Short 15M,167.88,1,167.88,1.69,1.33,0,1.73,1.36,-0.27,-0.21,9.9,0.99,19
128,Exit long,31/03/2026 11:30,Exit Long 15M,166.42,1,166.8,-0.29,-0.23,0,0.15,0.12,-0.31,-0.25,9.61,0.96,9
128,Entry long,31/03/2026 09:15,Long 15M,166.8,1,166.8,-0.29,-0.23,0,0.15,0.12,-0.31,-0.25,9.61,0.96,9
129,Exit short,31/03/2026 12:00,Exit Short 15M,166.34,1,165.9,-0.33,-0.27,0,0.07,0.05,-0.33,-0.27,9.27,0.93,1
129,Entry short,31/03/2026 11:45,Short 15M,165.9,1,165.9,-0.33,-0.27,0,0.07,0.05,-0.33,-0.27,9.27,0.93,1
130,Exit long,31/03/2026 14:45,Exit Long 15M,169.66,1,166.7,2.25,1.78,0,2.25,1.78,-0.08,-0.06,11.52,1.15,10
130,Entry long,31/03/2026 12:15,Long 15M,166.7,1,166.7,2.25,1.78,0,2.25,1.78,-0.08,-0.06,11.52,1.15,10
131,Exit long,01/04/2026 18:30,Exit Long 15M,176.61,1,177.11,-0.38,-0.28,0,0.2,0.15,-0.38,-0.28,11.14,1.11,6
131,Entry long,01/04/2026 17:00,Long 15M,177.11,1,177.11,-0.38,-0.28,0,0.2,0.15,-0.38,-0.28,11.14,1.11,6
132,Exit long,01/04/2026 23:00,Exit Long 15M,175.83,1,176.09,-0.2,-0.15,0,0.11,0.09,-0.44,-0.33,10.95,1.09,9
132,Entry long,01/04/2026 20:45,Long 15M,176.09,1,176.09,-0.2,-0.15,0,0.11,0.09,-0.44,-0.33,10.95,1.09,9
133,Exit short,02/04/2026 14:30,Exit Short 15M,172.61,1,171.8,-0.61,-0.47,0,1.19,0.93,-0.61,-0.47,10.34,1.03,21
133,Entry short,02/04/2026 09:15,Short 15M,171.8,1,171.8,-0.61,-0.47,0,1.19,0.93,-0.61,-0.47,10.34,1.03,21
134,Exit long,06/04/2026 22:15,Exit Long 15M,177.4,1,177.64,-0.18,-0.14,0,0,0,-0.2,-0.15,10.16,1.02,5
134,Entry long,06/04/2026 21:00,Long 15M,177.64,1,177.64,-0.18,-0.14,0,0,0,-0.2,-0.15,10.16,1.02,5
135,Exit short,07/04/2026 09:00,Exit Short 15M,177.16,1,176.92,-0.18,-0.14,0,0.39,0.29,-0.18,-0.14,9.97,1,6
135,Entry short,06/04/2026 23:30,Short 15M,176.92,1,176.92,-0.18,-0.14,0,0.39,0.29,-0.18,-0.14,9.97,1,6
136,Exit long,07/04/2026 10:00,Exit Long 15M,176.75,1,177.15,-0.3,-0.23,0,0.2,0.15,-0.3,-0.23,9.67,0.97,2
136,Entry long,07/04/2026 09:30,Long 15M,177.15,1,177.15,-0.3,-0.23,0,0.2,0.15,-0.3,-0.23,9.67,0.97,2
137,Exit short,07/04/2026 20:30,Long 15M,176.25,1,176.62,0.28,0.21,0,2.24,1.68,-0.28,-0.21,9.95,1,37
137,Entry short,07/04/2026 11:15,Short 15M,176.62,1,176.62,0.28,0.21,0,2.24,1.68,-0.28,-0.21,9.95,1,37
138,Exit long,07/04/2026 22:45,Exit Long 15M,178.54,1,176.25,1.73,1.3,0,1.75,1.31,-0.12,-0.09,11.68,1.17,9
138,Entry long,07/04/2026 20:30,Long 15M,176.25,1,176.25,1.73,1.3,0,1.75,1.31,-0.12,-0.09,11.68,1.17,9
139,Exit long,10/04/2026 14:30,Exit Long 15M,184.82,1,183.06,1.31,0.96,0,1.31,0.96,-0.11,-0.08,12.99,1.3,12
139,Entry long,10/04/2026 11:30,Long 15M,183.06,1,183.06,1.31,0.96,0,1.31,0.96,-0.11,-0.08,12.99,1.3,12
140,Exit long,13/04/2026 09:15,Short 15M,185.93,1,185.5,0.32,0.23,0,0.52,0.38,-0.37,-0.27,13.31,1.33,1
140,Entry long,13/04/2026 09:00,Long 15M,185.5,1,185.5,0.32,0.23,0,0.52,0.38,-0.37,-0.27,13.31,1.33,1
141,Exit short,13/04/2026 10:15,Exit Short 15M,186.67,1,185.93,-0.55,-0.4,0,0.05,0.04,-0.55,-0.4,12.76,1.28,4
141,Entry short,13/04/2026 09:15,Short 15M,185.93,1,185.93,-0.55,-0.4,0,0.05,0.04,-0.55,-0.4,12.76,1.28,4
142,Exit long,13/04/2026 20:45,Exit Long 15M,189.34,1,188.02,0.98,0.7,0,1.22,0.87,-0.3,-0.21,13.74,1.37,23
142,Entry long,13/04/2026 15:00,Long 15M,188.02,1,188.02,0.98,0.7,0,1.22,0.87,-0.3,-0.21,13.74,1.37,23
143,Exit long,14/04/2026 14:15,Exit Long 15M,190.07,1,190.48,-0.3,-0.22,0,0.3,0.21,-0.3,-0.22,13.44,1.34,8
143,Entry long,14/04/2026 12:15,Long 15M,190.48,1,190.48,-0.3,-0.22,0,0.3,0.21,-0.3,-0.22,13.44,1.34,8
144,Exit long,15/04/2026 12:30,Exit Long 15M,195.9,1,196.52,-0.46,-0.32,0,0.01,0.01,-0.46,-0.32,12.98,1.3,1
144,Entry long,15/04/2026 12:15,Long 15M,196.52,1,196.52,-0.46,-0.32,0,0.01,0.01,-0.46,-0.32,12.98,1.3,1
145,Exit long,15/04/2026 16:45,Exit Long 15M,199.87,1,196.53,2.46,1.7,0,2.54,1.76,-0.2,-0.14,15.44,1.54,9
145,Entry long,15/04/2026 14:30,Long 15M,196.53,1,196.53,2.46,1.7,0,2.54,1.76,-0.2,-0.14,15.44,1.54,9
146,Exit long,16/04/2026 09:00,Exit Long 15M,199.85,1,198.24,1.19,0.81,0,1.19,0.81,-0.27,-0.19,16.63,1.66,18
146,Entry long,15/04/2026 20:30,Long 15M,198.24,1,198.24,1.19,0.81,0,1.19,0.81,-0.27,-0.19,16.63,1.66,18
147,Exit long,16/04/2026 17:30,Exit Long 15M,197.75,1,198.67,-0.68,-0.46,0,0.87,0.59,-0.68,-0.46,15.95,1.6,6
147,Entry long,16/04/2026 16:00,Long 15M,198.67,1,198.67,-0.68,-0.46,0,0.87,0.59,-0.68,-0.46,15.95,1.6,6
148,Exit long,17/04/2026 16:45,Exit Long 15M,200.36,1,201.47,-0.82,-0.55,0,0,0,-1.23,-0.83,15.13,1.51,6
148,Entry long,17/04/2026 15:15,Long 15M,201.47,1,201.47,-0.82,-0.55,0,0,0,-1.23,-0.83,15.13,1.51,6
149,Exit short,20/04/2026 11:15,Exit Short 15M,199.31,1,198.91,-0.3,-0.2,0,0.1,0.07,-0.41,-0.28,14.84,1.48,8
149,Entry short,20/04/2026 09:15,Short 15M,198.91,1,198.91,-0.3,-0.2,0,0.1,0.07,-0.41,-0.28,14.84,1.48,8
150,Exit short,20/04/2026 19:00,Exit Short 15M,200.11,1,199.58,-0.39,-0.27,0,1.29,0.87,-0.41,-0.28,14.44,1.44,15
150,Entry short,20/04/2026 15:15,Short 15M,199.58,1,199.58,-0.39,-0.27,0,1.29,0.87,-0.41,-0.28,14.44,1.44,15
151,Exit long,20/04/2026 20:45,Exit Long 15M,201.96,1,200.31,1.22,0.82,0,1.22,0.82,-0.07,-0.04,15.66,1.57,6
151,Entry long,20/04/2026 19:15,Long 15M,200.31,1,200.31,1.22,0.82,0,1.22,0.82,-0.07,-0.04,15.66,1.57,6
152,Exit short,21/04/2026 21:00,Exit Short 15M,200.32,1,199.36,-0.71,-0.48,0,0.05,0.04,-0.71,-0.48,14.96,1.5,1
152,Entry short,21/04/2026 20:45,Short 15M,199.36,1,199.36,-0.71,-0.48,0,0.05,0.04,-0.71,-0.48,14.96,1.5,1
153,Exit long,22/04/2026 09:30,Exit Long 15M,200.92,1,201.22,-0.22,-0.15,0,0.01,0,-0.27,-0.18,14.73,1.47,1
153,Entry long,22/04/2026 09:15,Long 15M,201.22,1,201.22,-0.22,-0.15,0,0.01,0,-0.27,-0.18,14.73,1.47,1
154,Exit short,22/04/2026 14:15,Exit Short 15M,201.07,1,200.54,-0.39,-0.26,0,0.1,0.07,-0.39,-0.26,14.34,1.43,1
154,Entry short,22/04/2026 14:00,Short 15M,200.54,1,200.54,-0.39,-0.26,0,0.1,0.07,-0.39,-0.26,14.34,1.43,1
155,Exit long,22/04/2026 23:00,Exit Long 15M,202.4,1,201.38,0.76,0.51,0,0.86,0.58,-0.33,-0.22,15.1,1.51,27
155,Entry long,22/04/2026 16:15,Long 15M,201.38,1,201.38,0.76,0.51,0,0.86,0.58,-0.33,-0.22,15.1,1.51,27
156,Exit short,23/04/2026 12:30,Exit Short 15M,201.68,1,201.3,-0.28,-0.19,0,0.59,0.39,-0.28,-0.19,14.81,1.48,13
156,Entry short,23/04/2026 09:15,Short 15M,201.3,1,201.3,-0.28,-0.19,0,0.59,0.39,-0.28,-0.19,14.81,1.48,13
157,Exit short,24/04/2026 14:45,Long 15M,201.75,1,199.91,-1.37,-0.92,0,0.07,0.05,-2.46,-1.66,13.45,1.34,1
157,Entry short,24/04/2026 14:30,Short 15M,199.91,1,199.91,-1.37,-0.92,0,0.07,0.05,-2.46,-1.66,13.45,1.34,1
158,Exit long,24/04/2026 15:45,Exit Long 15M,208.22,1,201.75,4.8,3.21,0,4.8,3.21,-0.45,-0.3,18.25,1.83,4
158,Entry long,24/04/2026 14:45,Long 15M,201.75,1,201.75,4.8,3.21,0,4.8,3.21,-0.45,-0.3,18.25,1.83,4
159,Exit long,27/04/2026 18:45,Exit Long 15M,215.31,1,211.05,3.15,2.02,0,3.15,2.02,-0.04,-0.03,21.4,2.14,6
159,Entry long,27/04/2026 17:15,Long 15M,211.05,1,211.05,3.15,2.02,0,3.15,2.02,-0.04,-0.03,21.4,2.14,6
160,Exit short,28/04/2026 17:45,Exit Short 15M,210.41,1,209.08,-0.98,-0.64,0,0.36,0.23,-1.16,-0.75,20.42,2.04,5
160,Entry short,28/04/2026 16:30,Short 15M,209.08,1,209.08,-0.98,-0.64,0,0.36,0.23,-1.16,-0.75,20.42,2.04,5
161,Exit long,29/04/2026 09:00,Exit Long 15M,213.5,1,212.2,0.96,0.61,0,1.86,1.19,-0.04,-0.03,21.38,2.14,23
161,Entry long,28/04/2026 19:15,Long 15M,212.2,1,212.2,0.96,0.61,0,1.86,1.19,-0.04,-0.03,21.38,2.14,23
162,Exit long,29/04/2026 14:15,Exit Long 15M,212.73,1,213.29,-0.41,-0.26,0,0.86,0.54,-0.51,-0.32,20.97,2.1,19
162,Entry long,29/04/2026 09:30,Long 15M,213.29,1,213.29,-0.41,-0.26,0,0.86,0.54,-0.51,-0.32,20.97,2.1,19
163,Exit short,30/04/2026 14:45,Exit Short 15M,205.9,1,209.97,3.02,1.94,0,3.32,2.13,-0.24,-0.16,23.98,2.4,1
163,Entry short,30/04/2026 14:30,Short 15M,209.97,1,209.97,3.02,1.94,0,3.32,2.13,-0.24,-0.16,23.98,2.4,1
164,Exit short,01/05/2026 22:15,Exit Short 15M,198.39,1,200.48,1.54,1.04,0,2.47,1.68,-0.1,-0.06,25.52,2.55,29
164,Entry short,01/05/2026 15:00,Short 15M,200.48,1,200.48,1.54,1.04,0,2.47,1.68,-0.1,-0.06,25.52,2.55,29
165,Exit long,04/05/2026 11:00,Exit Long 15M,199.03,1,199.59,-0.41,-0.28,0,0.15,0.1,-0.41,-0.28,25.11,2.51,7
165,Entry long,04/05/2026 09:15,Long 15M,199.59,1,199.59,-0.41,-0.28,0,0.15,0.1,-0.41,-0.28,25.11,2.51,7
166,Exit short,04/05/2026 11:30,Exit Short 15M,198.18,1,197.42,-0.56,-0.38,0,0.67,0.46,-0.56,-0.38,24.55,2.45,1
166,Entry short,04/05/2026 11:15,Short 15M,197.42,1,197.42,-0.56,-0.38,0,0.67,0.46,-0.56,-0.38,24.55,2.45,1
167,Exit short,04/05/2026 18:45,Exit Short 15M,198.39,1,197.37,-0.75,-0.52,0,1.94,1.33,-0.75,-0.52,23.8,2.38,13
167,Entry short,04/05/2026 15:30,Short 15M,197.37,1,197.37,-0.75,-0.52,0,1.94,1.33,-0.75,-0.52,23.8,2.38,13
168,Exit long,04/05/2026 19:30,Exit Long 15M,197.4,1,198.31,-0.67,-0.46,0,0.66,0.45,-0.67,-0.46,23.13,2.31,2
168,Entry long,04/05/2026 19:00,Long 15M,198.31,1,198.31,-0.67,-0.46,0,0.66,0.45,-0.67,-0.46,23.13,2.31,2
169,Exit long,05/05/2026 14:30,Exit Long 15M,198.62,1,199.14,-0.38,-0.26,0,0.62,0.42,-0.38,-0.26,22.74,2.27,5
169,Entry long,05/05/2026 13:15,Long 15M,199.14,1,199.14,-0.38,-0.26,0,0.62,0.42,-0.38,-0.26,22.74,2.27,5
170,Exit short,05/05/2026 19:45,Exit Short 15M,196.52,1,198.51,1.47,1,0,1.47,1,-0.38,-0.26,24.21,2.42,19
170,Entry short,05/05/2026 15:00,Short 15M,198.51,1,198.51,1.47,1,0,1.47,1,-0.38,-0.26,24.21,2.42,19
171,Exit short,05/05/2026 23:45,Exit Short 15M,196.8,1,196.1,-0.52,-0.36,0,0.44,0.31,-0.52,-0.36,23.7,2.37,3
171,Entry short,05/05/2026 23:00,Short 15M,196.1,1,196.1,-0.52,-0.36,0,0.44,0.31,-0.52,-0.36,23.7,2.37,3
172,Exit long,06/05/2026 21:15,Exit Long 15M,208.68,1,204.47,3.11,2.06,0,3.11,2.06,-1.15,-0.76,26.8,2.68,25
172,Entry long,06/05/2026 15:00,Long 15M,204.47,1,204.47,3.11,2.06,0,3.11,2.06,-1.15,-0.76,26.8,2.68,25
173,Exit long,07/05/2026 10:15,Exit Long 15M,208.54,1,209.47,-0.68,-0.44,0,0.21,0.13,-0.68,-0.44,26.12,2.61,4
173,Entry long,07/05/2026 09:15,Long 15M,209.47,1,209.47,-0.68,-0.44,0,0.21,0.13,-0.68,-0.44,26.12,2.61,4
174,Exit long,07/05/2026 14:30,Exit Long 15M,207.57,1,208.54,-0.71,-0.47,0,0.78,0.51,-0.71,-0.47,25.41,2.54,1
174,Entry long,07/05/2026 14:15,Long 15M,208.54,1,208.54,-0.71,-0.47,0,0.78,0.51,-0.71,-0.47,25.41,2.54,1
175,Exit short,07/05/2026 23:15,Exit Short 15M,210.9,1,209.92,-0.72,-0.47,0,0.02,0.01,-0.8,-0.51,24.68,2.47,1
175,Entry short,07/05/2026 23:00,Short 15M,209.92,1,209.92,-0.72,-0.47,0,0.02,0.01,-0.8,-0.51,24.68,2.47,1
176,Exit long,08/05/2026 13:15,Exit Long 15M,213.04,1,213.44,-0.3,-0.19,0,0.56,0.36,-0.69,-0.44,24.39,2.44,17
176,Entry long,08/05/2026 09:00,Long 15M,213.44,1,213.44,-0.3,-0.19,0,0.56,0.36,-0.69,-0.44,24.39,2.44,17
177,Exit long,08/05/2026 15:15,Exit Long 15M,215.24,1,216.78,-1.14,-0.71,0,0.75,0.47,-1.14,-0.71,23.25,2.33,2
177,Entry long,08/05/2026 14:45,Long 15M,216.78,1,216.78,-1.14,-0.71,0,0.75,0.47,-1.14,-0.71,23.25,2.33,2
178,Exit long,12/05/2026 00:45,Exit Long 15M,219.69,1,220,-0.23,-0.14,0,0.07,0.04,-0.23,-0.14,23.02,2.3,1
178,Entry long,12/05/2026 00:30,Long 15M,220,1,220,-0.23,-0.14,0,0.07,0.04,-0.23,-0.14,23.02,2.3,1
179,Exit short,12/05/2026 10:30,Exit Short 15M,217.78,1,216.85,-0.68,-0.43,0,0.4,0.25,-0.68,-0.43,22.34,2.23,5
179,Entry short,12/05/2026 09:15,Short 15M,216.85,1,216.85,-0.68,-0.43,0,0.4,0.25,-0.68,-0.43,22.34,2.23,5
180,Exit long,13/05/2026 00:30,Exit Long 15M,219.3,1,219.65,-0.26,-0.16,0,1.53,0.95,-0.47,-0.29,22.08,2.21,19
180,Entry long,12/05/2026 19:45,Long 15M,219.65,1,219.65,-0.26,-0.16,0,1.53,0.95,-0.47,-0.29,22.08,2.21,19
181,Exit long,13/05/2026 12:00,Exit Long 15M,225.2,1,225.83,-0.47,-0.28,0,0.63,0.38,-0.47,-0.28,21.62,2.16,11
181,Entry long,13/05/2026 09:15,Long 15M,225.83,1,225.83,-0.47,-0.28,0,0.63,0.38,-0.47,-0.28,21.62,2.16,11
182,Exit long,13/05/2026 18:45,Exit Long 15M,225.43,1,226.4,-0.72,-0.43,0,1.06,0.64,-0.72,-0.43,20.9,2.09,11
182,Entry long,13/05/2026 16:00,Long 15M,226.4,1,226.4,-0.72,-0.43,0,1.06,0.64,-0.72,-0.43,20.9,2.09,11
183,Exit long,14/05/2026 13:45,Exit Long 15M,230.21,1,231.09,-0.65,-0.38,0,0.1,0.06,-0.65,-0.38,20.25,2.02,1
183,Entry long,14/05/2026 13:30,Long 15M,231.09,1,231.09,-0.65,-0.38,0,0.1,0.06,-0.65,-0.38,20.25,2.02,1
184,Exit short,15/05/2026 14:30,Exit Short 15M,227.12,1,231.88,3.55,2.05,0,3.55,2.05,-0.1,-0.06,23.8,2.38,21
184,Entry short,15/05/2026 09:15,Short 15M,231.88,1,231.88,3.55,2.05,0,3.55,2.05,-0.1,-0.06,23.8,2.38,21
185,Exit short,15/05/2026 22:15,Exit Short 15M,225.1,1,228.69,2.68,1.57,0,3.25,1.9,-0.31,-0.18,26.48,2.65,10
185,Entry short,15/05/2026 19:45,Short 15M,228.69,1,228.69,2.68,1.57,0,3.25,1.9,-0.31,-0.18,26.48,2.65,10
186,Exit short,18/05/2026 12:30,Exit Short 15M,227.4,1,226.48,-0.69,-0.41,0,0.73,0.43,-0.69,-0.41,25.79,2.58,3
186,Entry short,18/05/2026 11:45,Short 15M,226.48,1,226.48,-0.69,-0.41,0,0.73,0.43,-0.69,-0.41,25.79,2.58,3
187,Exit long,18/05/2026 14:30,Exit Long 15M,227.03,1,228.19,-0.87,-0.51,0,1.85,1.08,-0.87,-0.51,24.92,2.49,7
187,Entry long,18/05/2026 12:45,Long 15M,228.19,1,228.19,-0.87,-0.51,0,1.85,1.08,-0.87,-0.51,24.92,2.49,7
188,Exit short,18/05/2026 19:30,Exit Short 15M,219.36,1,224.27,3.69,2.19,0,3.79,2.25,-1.67,-0.99,28.6,2.86,19
188,Entry short,18/05/2026 14:45,Short 15M,224.27,1,224.27,3.69,2.19,0,3.79,2.25,-1.67,-0.99,28.6,2.86,19
189,Exit short,19/05/2026 14:00,Exit Short 15M,219.65,1,221.97,1.73,1.05,0,1.8,1.09,-0.58,-0.35,30.33,3.03,20
189,Entry short,19/05/2026 09:00,Short 15M,221.97,1,221.97,1.73,1.05,0,1.8,1.09,-0.58,-0.35,30.33,3.03,20
190,Exit long,19/05/2026 15:00,Exit Long 15M,219.91,1,221.62,-1.27,-0.77,0,0.89,0.54,-1.27,-0.77,29.06,2.91,1
190,Entry long,19/05/2026 14:45,Long 15M,221.62,1,221.62,-1.27,-0.77,0,0.89,0.54,-1.27,-0.77,29.06,2.91,1
191,Exit short,19/05/2026 15:45,Exit Short 15M,220.91,1,218.65,-1.68,-1.03,0,0.54,0.33,-1.68,-1.03,27.38,2.74,2
191,Entry short,19/05/2026 15:15,Short 15M,218.65,1,218.65,-1.68,-1.03,0,0.54,0.33,-1.68,-1.03,27.38,2.74,2
192,Exit long,19/05/2026 20:15,Exit Long 15M,221.87,1,223.13,-0.94,-0.56,0,1.01,0.61,-0.94,-0.56,26.44,2.64,10
192,Entry long,19/05/2026 17:45,Long 15M,223.13,1,223.13,-0.94,-0.56,0,1.01,0.61,-0.94,-0.56,26.44,2.64,10
