Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL GBP,Return %,Commission GBP,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative PnL GBP,Cumulative PnL %,Duration (bars)
35,Entry long,23/01/2026 11:15,Long 15M,187.95,1,187.95,-0.62,-0.45,0,0.41,0.29,-0.79,-0.57,-0.81,-0.08,8
36,Exit short,26/01/2026 09:45,Exit Short 15M,185.71,1,186.58,0.64,0.47,0,0.64,0.47,-0.06,-0.04,-0.17,-0.02,2
36,Entry short,26/01/2026 09:15,Short 15M,186.58,1,186.58,0.64,0.47,0,0.64,0.47,-0.06,-0.04,-0.17,-0.02,2
37,Exit long,27/01/2026 14:30,Exit Long 15M,187.04,1,187.25,-0.15,-0.11,0,0.52,0.38,-0.16,-0.12,-0.32,-0.03,21
37,Entry long,27/01/2026 09:15,Long 15M,187.25,1,187.25,-0.15,-0.11,0,0.52,0.38,-0.16,-0.12,-0.32,-0.03,21
38,Exit long,27/01/2026 17:30,Exit Long 15M,189.68,1,187.64,1.49,1.09,0,1.73,1.26,-0.11,-0.08,1.17,0.12,10
38,Entry long,27/01/2026 15:00,Long 15M,187.64,1,187.64,1.49,1.09,0,1.73,1.26,-0.11,-0.08,1.17,0.12,10
39,Exit long,28/01/2026 09:00,Exit Long 15M,191.54,1,189.45,1.51,1.1,0,1.51,1.1,-0.18,-0.13,2.68,0.27,1
39,Entry long,28/01/2026 00:45,Long 15M,189.45,1,189.45,1.51,1.1,0,1.51,1.1,-0.18,-0.13,2.68,0.27,1
40,Exit long,28/01/2026 15:30,Exit Long 15M,191.18,1,192.14,-0.69,-0.5,0,0.15,0.11,-0.69,-0.5,1.98,0.2,3
40,Entry long,28/01/2026 14:45,Long 15M,192.14,1,192.14,-0.69,-0.5,0,0.15,0.11,-0.69,-0.5,1.98,0.2,3
41,Exit long,28/01/2026 19:15,Exit Long 15M,191.38,1,191.93,-0.4,-0.29,0,0.2,0.15,-0.4,-0.29,1.59,0.16,1
41,Entry long,28/01/2026 19:00,Long 15M,191.93,1,191.93,-0.4,-0.29,0,0.2,0.15,-0.4,-0.29,1.59,0.16,1
42,Exit short,29/01/2026 11:30,Long 15M,191.22,1,191.04,-0.13,-0.09,0,0.75,0.54,-0.36,-0.26,1.46,0.15,15
42,Entry short,28/01/2026 23:45,Short 15M,191.04,1,191.04,-0.13,-0.09,0,0.75,0.54,-0.36,-0.26,1.46,0.15,15
43,Exit long,29/01/2026 14:30,Exit Long 15M,190.82,1,191.22,-0.29,-0.21,0,0.41,0.29,-0.29,-0.21,1.17,0.12,12
43,Entry long,29/01/2026 11:30,Long 15M,191.22,1,191.22,-0.29,-0.21,0,0.41,0.29,-0.29,-0.21,1.17,0.12,12
44,Exit short,29/01/2026 18:15,Long 15M,190.61,1,190.61,0,0,0,3.3,2.39,-1.06,-0.77,1.17,0.12,14
44,Entry short,29/01/2026 14:45,Short 15M,190.61,1,190.61,0,0,0,3.3,2.39,-1.06,-0.77,1.17,0.12,14
45,Exit long,29/01/2026 23:15,Short 15M,190.71,1,190.61,0.07,0.05,0,1.64,1.19,-0.65,-0.47,1.24,0.12,20
45,Entry long,29/01/2026 18:15,Long 15M,190.61,1,190.61,0.07,0.05,0,1.64,1.19,-0.65,-0.47,1.24,0.12,20
